is_retargeting,has_subtitle,has_cta,has_hook,has_face,music_voice_ratio,conversions,engagement_rate,impressions_lg_mm,clicks_lg_mm,spend_lg_mm,revenue_lg_mm,conversions_lg_mm,video_duration_s_lg_mm,avg_watch_time_s_lg_mm,ctr_lg_mm,roas_lg_mm,cpc_lg_mm,platform_LinkedIn,platform_Meta,platform_TikTok,text_density_high,text_density_low,text_density_medium,format_horizontal,format_quadrado,format_vertical,dia_da_semana,fl_final_semana,objective_platform_app_install_Meta,objective_platform_app_install_TikTok,objective_platform_awareness_LinkedIn,objective_platform_awareness_Meta,objective_platform_awareness_TikTok,objective_platform_conversions_LinkedIn,objective_platform_conversions_Meta,objective_platform_conversions_TikTok,objective_platform_engagement_LinkedIn,objective_platform_engagement_Meta,objective_platform_engagement_TikTok,objective_platform_traffic_LinkedIn,objective_platform_traffic_Meta,objective_platform_traffic_TikTok,platform_weekend_LinkedIn_1,platform_weekend_Meta_0,platform_weekend_Meta_1,platform_weekend_TikTok_0,platform_weekend_TikTok_1,obj_mes_app_install_1,obj_mes_app_install_2,obj_mes_app_install_3,obj_mes_awareness_0,obj_mes_awareness_1,obj_mes_awareness_2,obj_mes_awareness_3,obj_mes_conversions_0,obj_mes_conversions_1,obj_mes_conversions_2,obj_mes_conversions_3,obj_mes_engagement_0,obj_mes_engagement_1,obj_mes_engagement_2,obj_mes_engagement_3,obj_mes_traffic_0,obj_mes_traffic_1,obj_mes_traffic_2,obj_mes_traffic_3,duration_obj_muito_curto_awareness,duration_obj_muito_curto_conversions,duration_obj_muito_curto_engagement,duration_obj_muito_curto_traffic,porcentagem_assistida,receita_x_click,custo_x_conversao,ctr_x_roas,engagement_rate_x_ctr,completude_criativa,target_audience_age_cat,text_density_cat,category_App Install,category_Branding,category_E-commerce,category_Lead Gen,category_SaaS,fl_replay,avg_watch_time_s,has_hook_Meta,has_face_TikTok,text_density_horizontal_Meta,impressions_cat,best_pos_mes_obj,is_best_moment,conv_rate,custo_x_plataforma,klike_score
1,0.0,1.0,1.0,1.0,0.15,15.0,0.0432,0.114773108279317,0.3213618065988713,0.3266032379163863,0.5907167036223238,0.3815380649309122,0.6156866975046306,0.46860607976983,0.6327163609971839,0.4241195743218139,0.3511444498256545,0,1,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7611112627072889,0.4470514439514513,0.020412702369774143,0.26834739369257277,0.027333346795078345,3,0,0,0,0,1,0,0,0,0.46860607976983,1,0,0,0,2,0,178.0728676359885,0.6640641588260734,75.6
0,1.0,0.0,1.0,0.0,0.18,11.0,0.0501,0.273967437665253,0.44501522923777,0.3536027030565835,0.5615206518917439,0.3419499138437585,0.4263140302292095,0.5317187514264159,0.54368219930498,0.3041638777661431,0.1564792586572346,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2472466626081602,0.38859151137662407,0.029466891921381955,0.16536848601302778,0.027238478185179497,2,0,0,0,0,1,0,0,1,0.4263140302292095,0,0,0,0,2,0,178.0728676359885,0.8553323610807172,70.8
0,1.0,1.0,1.0,0.0,0.45,18.0,0.024,0.321015743137045,0.5500130380137294,0.5057521341844105,0.7090659241443844,0.4051865108615118,0.0,0.281426720556905,0.8434801589235223,0.4038610698590674,0.2851141241564416,0,0,1,0,1,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.4574580385807721,0.026618533378126866,0.34064879938774995,0.020243523814164537,3,1,0,0,0,0,0,1,1,0.0,0,0,0,1,2,1,152.49061419550262,1.2233678173674511,77.0
0,0.0,1.0,0.0,1.0,0.36,59.0,0.0257,0.6554840178449428,0.6705285082881645,0.6342017569675928,0.7917680625524935,0.5634259019017694,0.1177612438686697,0.342467845295907,0.214053721757639,0.3835197040907224,0.3399188830866892,0,1,0,0,0,1,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.908154109494935,0.47396261639607673,0.010570029282793214,0.08209382002800754,0.005501180649171323,2,1,1,0,0,0,0,1,1,0.1177612438686697,0,0,0,3,2,0,178.0728676359885,1.28948708210456,61.3
0,0.0,1.0,0.0,1.0,0.09,59.0,0.0282,0.5718590897142062,0.5564472991529816,0.4923100732849463,0.6819221327909389,0.5634259019017694,0.7866845508741805,0.6588887176331413,0.1554926985641729,0.3581856613817909,0.2389572104763585,0,0,1,0,1,0,0,0,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8375513627424997,0.43812735141243836,0.008205167888082439,0.05569525507524772,0.004384894099509675,2,0,0,0,0,1,0,0,0,0.6588887176331413,0,1,0,3,2,1,178.30034893656824,1.1908527104761737,69.7
0,0.0,0.0,0.0,0.0,0.33,39.0,0.0112,0.6367436335089951,0.5361046230186259,0.4241688553857016,0.638742487139542,0.5076295367561952,0.3468372190039189,0.3802964924715014,0.072286062515725,0.7735719152964853,0.1368084265734891,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0964696740553799,0.4158196502815921,0.01060422138464254,0.05591846782953086,0.00080960390017612,0,2,2,0,0,0,0,1,1,0.3468372190039189,0,0,0,3,2,0,119.19988194001502,1.0260253822661003,22.4
0,0.0,1.0,1.0,1.0,0.54,19.0,0.0414,0.223342355430413,0.4165740618831314,0.3730318522758288,0.6319539428599367,0.412245020523467,0.6305736140845756,0.7263079755405183,0.617723614294122,0.4481355525209912,0.2518385464176398,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.1518210710337498,0.44611429777264516,0.01865159261379144,0.27682391319696004,0.02557375763177665,3,1,1,0,0,0,1,0,1,0.6305736140845756,0,1,0,0,2,0,120.24803519888412,0.9023296830237777,74.9
0,1.0,1.0,0.0,1.0,0.49,59.0,0.0076,0.2991828389897069,0.5487856664691646,0.4891816133779621,0.6987876508874813,0.5634259019017694,0.1177612438686697,0.1538762025158933,0.9584079530217868,0.4071389782509576,0.2475700504203744,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3066794937008301,0.4511842187179705,0.008153026889632702,0.39020523474088203,0.00728390044296558,3,0,1,0,0,1,0,0,1,0.1177612438686697,0,1,0,1,2,0,178.0728676359885,1.1832852541879255,77.7
0,1.0,1.0,0.0,0.0,0.0499,11.0,0.0235,0.4511262322237535,0.3564868216378456,0.4610182401791803,0.6197613774923998,0.3419499138437585,0.6978302614195312,0.3619645160458371,0.0642079899581081,0.26722075051995,0.6964438087235085,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5186999418877685,0.456887134918192,0.03841818668159836,0.01715770726598306,0.0015088877640155403,2,1,1,0,0,0,1,0,0,0.3619645160458371,0,0,0,2,2,0,178.0728676359885,0.7476486946372468,57.5
1,0.0,1.0,1.0,1.0,0.46,12.0,0.0245,0.3140601090948898,0.5623467608718926,0.5376379367066093,0.0,0.3529646523632606,0.4263140302292095,0.5770917433161526,0.9584079530217868,0.0,0.3399188830866892,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.3536775766114872,0.0,0.04135676436204687,0.0,0.02348099484903378,3,0,1,0,1,0,0,0,1,0.4263140302292095,1,0,0,1,2,0,120.24803519888412,1.0931492488248462,75.5
